product_id,district_id1,district_id2,district_id3,district_id4,lat,lon,railway,airport,citycenter,railway2,airport2,citycenter2,eval,eval2,eval3,eval4,voters,startdate,upgradedate,cooperatedate,maxstock,ciiquantity
1,10201,20502,31003,45760,3.99492759705,11.6346298218,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.0,3.1,1034.0,2005-11-01,2015-01-01,2013-07-02,75.0,51
2,10201,20502,31003,45760,3.99514846802,11.6362579346,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,1707.0,2005-02-28,2011-01-01,2014-12-16,172.0,162
3,10201,20502,31003,45760,3.9942905426,11.6312461853,-1.0,-1.0,10.3,-1.0,-1.0,-1.0,3.0,4,2.5,3.6,1739.0,2007-03-01,2014-01-01,2014-07-02,188.0,537
4,10201,20502,31003,55952,3.99778289795,11.6415611267,-1.0,-1.0,9.3,-1.0,-1.0,-1.0,3.0,4,2.5,3.5,1065.0,2006-07-01,1753-01-01,2014-12-19,116.0,129
5,10201,20502,31003,55952,3.9999042511,11.6411491394,12.1,25.2,13.3,3.4,3.5,3.6,3.0,5,2.0,3.4,2209.0,2007-01-01,2012-03-01,2007-11-07,95.0,92
6,10201,20502,31003,55952,3.99953384399,11.6426330566,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.5,1788.0,2007-11-01,-1,2015-04-28,150.0,35
7,10201,20502,31003,55952,3.99835319519,11.6412467957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.6,1472.0,2007-08-01,1753-01-01,2011-11-23,130.0,109
8,10201,20502,31003,55952,4.00375328064,11.6417922974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,6,2.0,3.3,1796.0,2008-09-01,1753-01-01,2014-03-07,88.0,89
9,10201,20502,31003,55952,4.00043983459,11.6369346619,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,7,2.0,3.4,1304.0,2008-07-01,1753-01-01,2015-04-28,128.0,27
10,10201,20502,31003,55952,4.00018463135,11.6421936035,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,2356.0,2008-08-01,1753-01-01,2014-04-25,210.0,131
11,10201,20502,31003,55952,4.00087203979,11.6408409119,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,927.0,2008-01-01,1753-01-01,2014-12-16,154.0,47
12,10201,20502,31003,45760,3.99525642395,11.6335510254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.3,3429.0,2009-01-01,-1,2014-08-15,161.0,233
13,10201,20502,31003,55952,3.99834251404,11.6409561157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,4,2.0,3.4,1264.0,2009-07-01,1753-01-01,2014-05-23,204.0,65
14,10201,20502,31003,45760,3.99477653503,11.6330383301,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,5,2.5,3.3,2406.0,1980-01-01,2008-02-01,2015-03-02,165.0,197
